CVE,CVSSv2,CVSSv3
CVE-2016-1931,10,10
CVE-2016-1933,4.3,6.5
CVE-2016-1935,9.3,8.8
CVE-2016-1937,4.3,6.1
CVE-2016-1938,6.4,6.5
CVE-2016-1939,5,5.3
CVE-2016-1940,5,5.3
CVE-2016-1941,4.3,6.1
CVE-2016-1942,4.3,7.4
CVE-2016-1943,4.3,4.7
CVE-2016-1944,10,9.8
CVE-2016-1945,9.3,8.8
CVE-2016-1946,10,9.8
CVE-2016-1947,4.3,4.7
CVE-2016-1948,4.3,5.3
CVE-2016-1949,6.8,8.8
CVE-2016-1950,6.8,8.8
CVE-2016-1952,6.8,8.8
CVE-2016-1953,6.8,8.8
CVE-2016-1954,6.8,8.8
CVE-2016-1955,4.3,4.3
CVE-2016-1956,7.1,6.5
CVE-2016-1957,4.3,4.3
CVE-2016-1958,4.3,4.3
CVE-2016-1959,6.8,8.8
CVE-2016-1960,6.8,8.8
CVE-2016-1961,6.8,8.8
CVE-2016-1962,10,9.8
CVE-2016-1963,4.4,7.4
CVE-2016-1964,6.8,8.8
CVE-2016-1965,4.3,4.3
CVE-2016-1966,6.8,8.8
CVE-2016-1967,4.3,6.5
CVE-2016-1968,6.8,8.8
CVE-2016-1969,6.8,8.8
CVE-2016-1970,6.8,8.8
CVE-2016-1971,6.8,8.8
CVE-2016-1972,6.8,8.8
CVE-2016-1973,6.8,8.8
CVE-2016-1974,6.8,8.8
CVE-2016-1975,6.8,6.3
CVE-2016-1976,6.8,5.5
CVE-2016-1977,6.8,8.8
CVE-2016-1978,6.8,6.3
CVE-2016-1979,6.8,8.8
CVE-2016-1982,5,7.5
CVE-2016-1983,5,7.5
CVE-2016-1984,10,9.8
CVE-2016-1985,10,10
CVE-2016-1986,7.5,9.8
CVE-2016-1987,2.6,5.9
CVE-2016-1988,10,9.8
CVE-2016-1989,10,9.8
CVE-2016-1990,4.3,7.8
CVE-2016-1991,6,8
CVE-2016-1992,4,6.5
CVE-2016-1993,5.5,8.1
CVE-2016-1994,4,6.5
CVE-2016-1995,10,9.8
CVE-2016-1996,3.6,7.7
CVE-2016-1997,10,9.8
CVE-2016-1998,10,9.8
CVE-2016-2000,7.5,9.8
CVE-2016-2037,4.3,6.5
CVE-2016-2038,5,5.3
CVE-2016-2039,5,5.3
CVE-2016-2040,3.5,5.4
CVE-2016-2041,5,7.5
CVE-2016-2042,5,5.3
CVE-2016-2043,3.5,5.4
CVE-2016-2044,5,5.3
CVE-2016-2045,3.5,5.4
CVE-2016-2046,4.3,6.1
CVE-2016-2047,4.3,5.9
CVE-2016-2048,6,5.5
CVE-2016-2049,6.8,8.8
CVE-2016-2051,6.8,9.8
CVE-2016-2052,7.5,7.6
CVE-2016-2071,10,9.8
CVE-2016-2072,4.3,6.1
CVE-2016-2073,4.3,6.5
CVE-2016-2075,3.5,5.4
CVE-2016-2088,4.3,6.8
CVE-2016-2089,4.3,6.5
CVE-2016-2091,5,5.3
CVE-2016-2199,6.8,8.8
CVE-2016-2200,7.8,7.5
CVE-2016-2201,5,5.3
CVE-2016-2213,4.3,6.5
CVE-2016-2214,4.3,6.1
CVE-2016-2230,10,9.8
CVE-2016-2231,9,9.8
CVE-2016-2232,4,6.5
CVE-2016-2243,5.4,7.9
CVE-2016-2244,5,5.9
CVE-2016-2245,10,9.8
CVE-2016-2268,5.8,6.8
CVE-2016-2270,4.6,6.8
CVE-2016-2271,2.1,5.5
CVE-2016-2272,5,7.5
CVE-2016-2275,10,9.8
CVE-2016-2277,6.9,6.3
CVE-2016-2278,9,7.2
CVE-2016-2279,4.3,6.1
CVE-2016-2281,6,7.2
CVE-2016-2282,5,5.3
CVE-2016-2283,5,5.3
CVE-2016-2287,4.3,6.1
CVE-2016-2288,7.2,7.8
CVE-2016-2289,5,7.5
CVE-2016-2290,6.8,8.8
CVE-2016-2291,4.3,6.5
CVE-2016-2292,4.3,6.5
CVE-2016-2314,6.3,4.9
CVE-2016-2316,7.1,5.9
CVE-2016-2326,6.8,8.8
CVE-2016-2327,6.8,8.8
CVE-2016-2328,6.8,8.8
CVE-2016-2329,6.8,8.8
CVE-2016-2330,6.8,8.8
CVE-2016-2340,5.5,5.4
CVE-2016-2342,7.6,8.1
CVE-2016-2343,10,9.8
CVE-2016-2344,7.8,7.5
CVE-2016-2345,10,9.8
CVE-2016-2386,7.5,9.1
CVE-2016-2387,4.3,6.1
CVE-2016-2388,5,5.3
CVE-2016-2389,7.8,7.5
CVE-2016-2396,9,9.9
CVE-2016-2397,10,9.8
CVE-2016-2398,3.3,6.5
CVE-2016-2509,2.9,5.3
CVE-2016-2521,7.2,7.8
CVE-2016-2522,4.3,5.9
CVE-2016-2523,7.1,5.9
CVE-2016-2524,4.3,5.9
CVE-2016-2525,4.3,5.9
CVE-2016-2526,4.3,5.9
CVE-2016-2527,4.3,5.5
CVE-2016-2528,4.3,5.9
CVE-2016-2529,4.3,5.5
CVE-2016-2530,4.3,5.9
CVE-2016-2531,4.3,5.9
CVE-2016-2532,4.3,5.9
CVE-2016-2536,6.8,8.8
CVE-2016-2537,5,7.5
CVE-2016-2542,7.2,7.8
CVE-2016-2559,3.5,5.4
CVE-2016-2560,4.3,6.1
CVE-2016-2561,3.5,5.4
CVE-2016-2562,5.8,6.8
CVE-2016-2569,5,7.5
CVE-2016-2570,5,7.5
CVE-2016-2571,5,7.5
CVE-2016-2572,5,7.5
CVE-2016-2774,7.1,5.9
CVE-2016-2790,6.8,8.8
CVE-2016-2791,6.8,8.8
CVE-2016-2792,6.8,8.8
CVE-2016-2793,6.8,8.8
CVE-2016-2794,6.8,8.8
CVE-2016-2795,6.8,8.8
CVE-2016-2796,6.8,8.8
CVE-2016-2797,6.8,8.8
CVE-2016-2798,6.8,8.8
CVE-2016-2799,9.3,8.8
CVE-2016-2800,6.8,8.8
CVE-2016-2801,6.8,8.8
CVE-2016-2802,6.8,8.8
CVE-2016-2842,10,9.8
CVE-2016-2843,10,9.8
CVE-2016-2844,9.3,8.8
CVE-2016-2845,5,5.3
CVE-2016-2846,6.4,6.5
CVE-2016-2856,7.2,8.4
CVE-2016-3115,5.5,6.4
CVE-2016-3116,5.5,6.4
CVE-2016-3118,6.4,6.5
CVE-2016-3119,3.5,5.3
CVE-2016-3125,10,9.8
CVE-2016-3141,10,9.8
CVE-2016-3142,6.4,6.5
CVE-2016-3155,3.6,3.4
CVE-2016-3191,7.5,9.8
CVE-2016-3679,9.3,8.8
CVE-2016-3968,4.3,6.1
CVE-2016-3969,4.3,6.1
